OBJECTID,ID,INDEX_PARC,NOM,ARROND,TYPE
294,075-0028,2722-000,Soccer à 4-5,Pierrefonds-Roxboro,Sportif
295,004-0009,2801-000,Aire de jeu  5 à 12 ans,Saint-Laurent,Aire de jeu - enfant
296,021-0037,0971-000,Bocce,Rivière-des-Prairies-Pointe-aux-Trembles,Loisirs et détente
297,076-0054,2693-000,Soccer à 7,Pierrefonds-Roxboro,Sportif
298,003-0368,0260-002,Aire de jeu 18 mois à 5 ans,Le Sud-Ouest,Aire de jeu - enfant
299,018-0132,0088-000,Basketball,Mercier-Hochelaga-Maisonneuve,Récréatif
300,013-0002,2802-000,Aire d'exercice canin,Saint-Laurent,Loisirs et détente
301,076-0079,2442-000,Soccer à 7,LaSalle,Sportif
302,073-0077-76-S1,1192-000,Soccer sous-terrain à 7,Rivière-des-Prairies-Pointe-aux-Trembles,Sportif
303,002-0019,0225-000,Aire de glissade,Ville-Marie,Loisirs et détente
304,020-0021,9562-000,Belvédère,Rivière-des-Prairies-Pointe-aux-Trembles,Loisirs et détente
305,004-0332,0985-000,Aire de jeu  5 à 12 ans,Rivière-des-Prairies-Pointe-aux-Trembles,Aire de jeu - enfant
306,075-0040,2700-002,Soccer à 4-5,Pierrefonds-Roxboro,Sportif
307,075-0024, ,Soccer à 4-5,Villeray-Saint-Michel-Parc-Extension,Sportif
308,031-0010,2610-000,Étang / lac,Outremont,Plein air
309,081-0033,2610-000,Tennis,Outremont,Sportif
310,067-0011,0509-000,Scène,Côte-des-Neiges-Notre-Dame-de-Grâce,Loisirs et détente
311,065-0009,2348-000,Patinoire 4 saisons,L'Île-Bizard-Sainte-Geneviève,Récréatif
312,018-0115, ,Basketball,Montréal-Nord,Récréatif
313,050-0039,0199-000,Pataugeoire,Villeray-Saint-Michel-Parc-Extension,Récréatif
314,071-0019,2398-000,Sentier pédestre,Lachine,Plein air
315,003-0473,0101-000,Aire de jeu 18 mois à 5 ans,Mercier-Hochelaga-Maisonneuve,Aire de jeu - enfant
316,073-0104-76-S1,1267-000,Soccer sous-terrain à 7,Anjou,Sportif
317,071-0041,9503-000,Sentier pédestre,Pierrefonds-Roxboro,Plein air
318,081-0023,1173-000,Tennis,Rosemont-La Petite-Patrie,Sportif
319,002-0002,9543-000,Aire de glissade,Saint-Laurent,Loisirs et détente
320,072-0002,2800-000,Anneau / Rond de glace,Saint-Laurent,Loisirs et détente
321,022-0004,9569-000,Boisé,Anjou,Plein air
322,095-0029,0211-000,Pétanque,Rosemont-La Petite-Patrie,Loisirs et détente
323,095-0057,0316-000,Pétanque,Le Sud-Ouest,Loisirs et détente
324,036-0006, ,Golf,Verdun,Sportif
325,064-0012,2914-000,Rampe de mise à l'eau / descente de bateaux,Verdun,Plein air
326,016-0155,2012-000,Balle,Anjou,Sportif
327,003-0441,2552-000,Aire de jeu 18 mois à 5 ans,Montréal-Nord,Aire de jeu - enfant
328,020-0018,2949-000,Belvédère,Verdun,Loisirs et détente
329,003-0422,0976-000,Aire de jeu 18 mois à 5 ans,Rivière-des-Prairies-Pointe-aux-Trembles,Aire de jeu - enfant
330,003-0398,1021-000,Aire de jeu 18 mois à 5 ans,Rivière-des-Prairies-Pointe-aux-Trembles,Aire de jeu - enfant
331,073-0068,2460-000,Soccer à 11,LaSalle,Sportif
332,016-0053,0220-000,Balle,Rosemont-La Petite-Patrie,Sportif
333,004-0277,2440-000,Aire de jeu  5 à 12 ans,LaSalle,Aire de jeu - enfant
334,005-0036,2865-000,Aire de jeu combiné,Saint-Léonard,Aire de jeu - enfant
335,076-0074,0158-000,Soccer à 7,Côte-des-Neiges-Notre-Dame-de-Grâce,Sportif
336,058-0019, ,Piste d'athlétisme (400m) et équipements,Mercier-Hochelaga-Maisonneuve,Sportif
337,003-0291,0139-000,Aire de jeu 18 mois à 5 ans,Côte-des-Neiges-Notre-Dame-de-Grâce,Aire de jeu - enfant
338,004-0122,0207-000,Aire de jeu  5 à 12 ans,Rosemont-La Petite-Patrie,Aire de jeu - enfant
